gene,study_count
C20orf24,1
C20orf29,1
C20orf39,1
C20orf4,1
C20orf46,1
C20orf7,1
C20orf70,1
C20orf82,1
C20orf85,1
C20orf94,1
C21orf123,1
C21orf129,1
C21orf13,1
C21orf29,1
C21orf56,1
C21orf77,1
C21orf86,1
C22orf32,1
C22orf36,1
C22orf9,1
C2CD2,1
C2CD3,1
C2orf15,1
C2orf39,1
C2orf40,1
C2orf43,1
C2orf50,1
C2orf65,1
C2orf70,1
C2orf72,1
C3,1
C3orf14,1
C3orf15,1
C3orf24,1
C3orf25,1
C3orf27,1
C3orf31,1
C3orf35,1
C3orf36,1
C3orf39,1
C3orf40,1
C3orf44,1
C3orf45,1
C3orf57,1
C3orf64,1
C3orf70,1
C4B,1
C4orf31,1
C5orf13,1
C5orf14,1
C5orf28,1
C5orf38,1
C5orf39,1
C5orf4,1
C5orf63,1
C6orf103,1
C6orf122,1
C6orf138,1
C6orf145,1
C6orf150,1
C6orf154,1
C6orf170,1
C6orf186,1
C6orf195,1
C6orf201,1
C6orf206,1
C6orf208,1
C6orf223,1
C6orf25,1
C6orf27,1
C6orf32,1
C6orf65,1
C6orf81,1
C7orf31,1
C7orf34,1
C7orf41,1
C7orf43,1
C7orf46,1
C7orf52,1
C7orf57,1
C8G,1
C8orf17,1
C8orf22,1
C8orf41,1
C8orf78,1
C8ORFK36,1
C9,1
C9orf103,1
C9orf116,1
C9orf125,1
C9orf132,1
C9orf165,1
C9orf19,1
C9orf24,1
C9orf25,1
C9orf4,1
C9orf40,1
C9orf45,1
C9orf48,1
C9orf50,1
C9orf58,1
C9orf64,1
C9orf68,1
C9orf79,1
C9orf82,1
C9orf85,1
C9orf86,1
C9orf9,1
C9orf90,1
C9orf98,1
CA10,1
CA2,1
CA3,1
CA5A,1
CA5B,1
CA9,1
CABC1,1
CABLES1,1
CABP1,1
CABP4,1
CACNA1A,1
CACNA1C,1
CACNA1E,1
CACNA1F,1
CACNA1S,1
CACNA2D3,1
CACNB2,1
CACNB3,1
CACNG1,1
CACNG3,1
CACNG4,1
CACNG5,1
CACNG6,1
CACNG7,1
CACNG8,1
CADM1,1
CADM4,1
CALB1,1
CALCB,1
CALCR,1
CALD1,1
CALHM2,1
CALM1,1
CALM2,1
CALML5,1
CALN1,1
CALPON,1
CALY,1
CAMK1D,1
CAMK1G,1
CAMK2B,1
CAMK2N1,1
CAMK2N2,1
CAMK4,1
CAMKV,1
CAND2,1
CANT1,1
CAPN1,1
CAPS,1
CAPZB,1
CARD10,1
CARD11,1
CARD9,1
CARHSP1,1
CARS,1
CARS2,1
CARTPT,1
CASKIN2,1
CASP3,1
CASQ1,1
CAST,1
CATSPER2,1
CAV2,1
CBLC,1
CBLN3-KIAA0323,1
CBLN4,1
CBR1,1
CBS,1
CBX2,1
CBX4,1
CBX5,1
CCBE1,1
CCBP2,1
CCDC105,1
CCDC11,1
CCDC120,1
CCDC123,1
CCDC128,1
CCDC134,1
CCDC136,1
CCDC142,1
CCDC144A,1
CCDC148,1
CCDC169,1
CCDC17,1
CCDC19,1
CCDC24,1
CCDC27,1
CCDC28B,1
CCDC3,1
CCDC33,1
CCDC37,1
CCDC39,1
CCDC42,1
CCDC49,1
CCDC55,1
CCDC56,1
CCDC57,1
CCDC64B,1
CCDC67,1
CCDC74A,1
CCDC77,1
CCDC81,1
CCDC87,1
CCDC88A,1
CCDC88C,1
CCDC89,1
CCDC96,1
CCDC99,1
CCHCR1,1
CCK,1
CCKBR,1
CCL16,1
CCL19,1
CCL20,1
CCL21,1
CCL27,1
CCNB1,1
CCND2,1
CCND3,1
CCNJL,1
CCNL2,1
CCNYL1,1
CCR2,1
CCR4,1
CCR6,1
CCR8,1
CCR9,1
CCT8L2,1
CD14,1
CD160,1
CD177,1
CD1D,1
CD200,1
CD209,1
CD244,1
CD33,1
CD34,1
CD36,1
CD37,1
CD3D,1
CD3EAP,1
CD46,1
CD48,1
CD55,1
CD58,1
CD59,1
CD74,1
CD79A,1
CD79B,1
CD8B1,1
CD9,1
CDC14B,1
CDC27,1
CDC42BPA,1
CDC42EP1,1
CDC5L,1
CDCA3,1
CDCA7L,1
CDCA8,1
CDH11,1
CDH2,1
CDH23,1
CDH5,1
CDH8,1
CDK2AP2,1
CDK3,1
CDK5,1
CDK8,1
CDKL2,1
CDKN1A,1
CDKN2D,1
CEACAM1,1
CEACAM8,1
CEBPA,1
CECR1,1
CECR6,1
CEL,1
CELSR2,1
CENPA,1
CENPQ,1
CENTB1,1
CENTB5,1
CENTD2,1
CENTG1,1
CENTG3,1
CEP152,1
CEP250,1
CEP27,1
CEP72,1
CES1,1
CES3,1
CETN1,1
CETP,1
CFB,1
CFD,1
CFH,1
CFP,1
CFTR,1
CGB,1
CGNL1,1
CGRRF1,1
CH25H,1
CHAT,1
CHCHD10,1
CHCHD5,1
CHCHD6,1
CHD3,1
CHD9,1
CHFR,1
CHGA,1
CHIC1,1
CHID1,1
CHML,1
CHMP2A,1
CHN2,1
CHRDL2,1
CHRM2,1
CHRM4,1
CHRNA10,1
CHRNA2,1
CHRNA5,1
CHRNB1,1
CHST1,1
CHST12,1
CHST13,1
CHST14,1
CHST2,1
CHST5,1
CHST6,1
CHST8,1
CHST9,1
CIAPIN1,1
CIB3,1
CIC,1
CIDEA,1
CIDEB,1
CILP,1
CILP2,1
CISH,1
CITED1,1
CITED2,1
CITED4,1
CKB,1
CKLF,1
CKMT2,1
CKS2,1
CLCF1,1
CLCN2,1
CLCN5,1
CLCNKA,1
CLDN10,1
CLDN11,1
CLDN17,1
CLDN18,1
CLDN19,1
CLDN2,1
CLDN20,1
CLDN5,1
CLEC14A,1
CLIC5,1
CLIP1,1
CLIP2,1
CLIPR-59,1
CLK3,1
CLN5,1
CLOCK,1
CLPS,1
CLSTR,1
CLU,1
CLUAP1,1
CMBL,1
CMIP,1
CMTM1,1
CMTM3,1
CMTM8,1
CMYA1,1
CNGA1,1
CNGA3,1
CNGB1,1
CNN1,1
CNN2,1
CNN3,1
CNNM1,1
CNNM4,1
CNOT2,1
CNP,1
CNPY1,1
CNTD,1
CNTD1,1
CNTF,1
CNTN4,1
CNTNAP5,1
COBL,1
COG2,1
COG7,1
COL11A1,1
COL11A2,1
COL14A1,1
COL16A1,1
COL17A1,1
