gene,BP,CC,MF
DUSP6,"['GO:0009410', 'GO:0030154', 'GO:0043065']","['GO:0005737', 'GO:0005654', 'GO:0005829']",['GO:0005515']
E2F6,"['GO:0000122', 'GO:0006357']","['GO:0000785', 'GO:0005667', 'GO:0005654', 'GO:0005634', 'GO:0090575']","['GO:0000978', 'GO:0000981', 'GO:0005515', 'GO:0000977']"
EDNRA,"['GO:0048485', 'GO:0042474', 'GO:0008283', 'GO:0006874', 'GO:0070588', 'GO:0007585', 'GO:0060070', 'GO:0007204', 'GO:0001701', 'GO:0060324', 'GO:0010467', 'GO:0007193', 'GO:0007165', 'GO:0001569', 'GO:0001975', 'GO:0006468', 'GO:0002027', 'GO:0003357']","['GO:0005887', 'GO:0005886']",['GO:0005515']
EFEMP1,"['GO:0032331', 'GO:0048048', 'GO:0018108', 'GO:0007601']","['GO:0031012', 'GO:0005615', 'GO:0005576', 'GO:0070062']","['GO:0005515', 'GO:0005509', 'GO:0005201']"
EFS,"['GO:0007155', 'GO:0016477', 'GO:0007169', 'GO:0035556']","['GO:0005925', 'GO:0005886', 'GO:0005737']","['GO:0005515', 'GO:0017124']"
EHMT2,"['GO:0000122', 'GO:0045471', 'GO:0048665', 'GO:0060992']","['GO:0000785', 'GO:0005654', 'GO:0005634', 'GO:0016607']","['GO:0005515', 'GO:0008270', 'GO:0000977']"
ENPP2,"['GO:0030334', 'GO:0006935', 'GO:2000394']","['GO:0005615', 'GO:0005576', 'GO:0005886']","['GO:0005509', 'GO:0008270']"
EPHB1,"['GO:0001525', 'GO:0007169', 'GO:0007411', 'GO:0050965', 'GO:0046777', 'GO:0014719', 'GO:0022008', 'GO:0021631', 'GO:0070372', 'GO:0006468']","['GO:0045121', 'GO:0005887', 'GO:0005576', 'GO:0005886', 'GO:0070062', 'GO:0030424', 'GO:0043005', 'GO:0005829', 'GO:0098978', 'GO:0043235', 'GO:0030425']","['GO:0005515', 'GO:0044877']"
EVC2,['GO:0007224'],"['GO:0005737', 'GO:0005634', 'GO:0005856']",
EYA4,"['GO:0030154', 'GO:0009653', 'GO:0048856', 'GO:0007601']","['GO:0005737', 'GO:0005634']",['GO:0005515']
FAIM2,"['GO:0006915', 'GO:0043066', 'GO:0043523']","['GO:0045121', 'GO:0016020', 'GO:0045211', 'GO:0005794']",['GO:0005515']
FBLN5,['GO:0007160'],"['GO:0031012', 'GO:0005615', 'GO:0005576', 'GO:0070062']","['GO:0005515', 'GO:0005509', 'GO:0042803', 'GO:0005178']"
FBN2,"['GO:0048048', 'GO:0009653', 'GO:0035583', 'GO:0007165']","['GO:0031012', 'GO:0005615', 'GO:0005576']","['GO:0005515', 'GO:0005509', 'GO:0005201']"
FCRL3,['GO:0043410'],"['GO:0009986', 'GO:0005887']",['GO:1990782']
FEV,"['GO:0045944', 'GO:0030154', 'GO:0006357', 'GO:0010628', 'GO:0048665']","['GO:0000785', 'GO:0005634', 'GO:0016607']","['GO:0001228', 'GO:0000978', 'GO:1990837', 'GO:0000981']"
FEZF2,"['GO:0000122', 'GO:0045944', 'GO:0008285', 'GO:0021542']",['GO:0005634'],"['GO:0001228', 'GO:0000978', 'GO:0003682']"
FGF18,"['GO:0030154', 'GO:0001525', 'GO:0008283', 'GO:0009653', 'GO:0008284', 'GO:0010628', 'GO:0007267', 'GO:0030334', 'GO:0002063', 'GO:0032332', 'GO:0070374', 'GO:2000546', 'GO:0007165', 'GO:0001958', 'GO:0043406', 'GO:0001934']","['GO:0005615', 'GO:0005576', 'GO:0005737']",
FGFR1,"['GO:0016477', 'GO:0045595', 'GO:0007169', 'GO:0007275', 'GO:0018108', 'GO:0008284', 'GO:0043410', 'GO:0048513', 'GO:0046777', 'GO:2000546', 'GO:0043009', 'GO:0006468', 'GO:0043406', 'GO:0001764']","['GO:0005887', 'GO:0005576', 'GO:0005886', 'GO:0016020', 'GO:0005634', 'GO:0005829', 'GO:0043235', 'GO:0031410']","['GO:0005515', 'GO:0042803']"
FJX1,"['GO:0007267', 'GO:0010842']",['GO:0005615'],
FLOT1,"['GO:0007409', 'GO:1901741', 'GO:0035023', 'GO:0001819', 'GO:0001765', 'GO:0001934']","['GO:0005925', 'GO:0045121', 'GO:0005886', 'GO:0070062', 'GO:0042383', 'GO:0005912', 'GO:0016323', 'GO:0005901', 'GO:0016020', 'GO:0030864', 'GO:0042470', 'GO:0005815', 'GO:0098978', 'GO:0005911', 'GO:0044291', 'GO:0005769', 'GO:0031410']","['GO:0005515', 'GO:0002020']"
FLT4,"['GO:0001525', 'GO:0007169', 'GO:0007275', 'GO:0018108', 'GO:0043066', 'GO:0008284', 'GO:0043410', 'GO:0042127', 'GO:0070374', 'GO:0046777', 'GO:0010595', 'GO:0030335', 'GO:0001938', 'GO:0001934']","['GO:0005887', 'GO:0005576', 'GO:0005886', 'GO:0005654', 'GO:0005829', 'GO:0043235']","['GO:0005515', 'GO:0042803']"
FPR2,"['GO:0007155', 'GO:0032930', 'GO:0050766', 'GO:0006954', 'GO:0050728', 'GO:0007204', 'GO:0006935', 'GO:0070374', 'GO:0007193', 'GO:0002768', 'GO:0001934']","['GO:0005886', 'GO:0005737', 'GO:0016020', 'GO:0035579']","['GO:0001540', 'GO:0005515']"
GATA3,"['GO:0000122', 'GO:0009410', 'GO:0045944', 'GO:0008285', 'GO:0045471', 'GO:0030154', 'GO:0048485', 'GO:0009653', 'GO:0006954', 'GO:0045892', 'GO:0071773', 'GO:0043627', 'GO:0050728', 'GO:0007411', 'GO:0006366', 'GO:0006952', 'GO:0001701', 'GO:0043523', 'GO:0071356', 'GO:0045165', 'GO:0048589', 'GO:0045893', 'GO:0007165', 'GO:0010595', 'GO:0008584', 'GO:0001817', 'GO:0001822', 'GO:0001764']","['GO:0000785', 'GO:0005654', 'GO:0005634']","['GO:0001228', 'GO:0000978', 'GO:1990837', 'GO:0000981', 'GO:0005515', 'GO:0003700', 'GO:0008270', 'GO:0071837', 'GO:0003677', 'GO:0061629']"
